source,ScaledRepo
100percentfedup.com,0.0
365usanews.com,0.0
4threvolutionarywar.wordpress.com,0.0
aheadoftheherd.com,0.0
americablog.com,0.0
americanlookout.com,0.0
americanpatriotdaily.com,0.0
americanthinker.com,0.0
americasfreedomfighters.com,0.0
AmmoLand.com,0.0
anotherdayintheempire.com,0.0
antiwar.com,0.0
antoniusaquinas.wp.com,0.0
bignuggetnews.com,0.0
BrotherJohnF.com,0.0
centerforsecuritypolicy.org,0.0
charismanews.com,0.0
citizensunited.org,0.0
conservapedia.com,0.0
conservativefiringline.com,0.0
conservativehq.com,0.0
conservativepapers.com,0.0
conservativespirit.com,0.0
conservativestate.com,0.0
conservativetribune.com,0.0
countercurrentnews.com,0.0
counterjihad.com,0.0
cowgernation.com,0.0
dailynewsbin.com,0.0
dailypoliticsusa.com,0.0
dailysignal.com,0.0
dailytelegraph.com.au,0.0
dailywire.com,0.0
darkpolitricks.com,0.0
DeadlyClear.wordpress.com,0.0
debunkingskeptics.com,0.0
defenddemocracy.press,0.0
DollarVigilante.com,0.0
EagleRising.com,0.0
elelephantintheroom.blogspot.com,0.0
endingthefed.com,0.0
endtime.com,0.0
extraclubmagazine.com,0.0
federalistpress.com,0.0
firearmscoalition.org,0.0
freakoutnation.com,0.0
FreeBeacon.com,0.0
FreedomsPhoenix.com,0.0
freedomworldnews.com,0.0
frontpagemag.com,0.0
gulagbound.com,0.0
heartland.org,0.0
heresyblog.net,0.0
horowitzfreedomcenter.org,0.0
ihavethetruth.com,0.0
ilovemyfreedom.org,0.0
informetoday.com,0.0
instaworldnews.com,0.0
intrepidreport.com,0.0
investmentwatchblog.com,0.0
jamesrgrangerjr.com,0.0
journal-neo.org,0.0
katehon.com,0.0
lewrockwell.com,0.0
libertyunyielding.com,0.0
lifeandabout.com,0.0
lifenews.com,0.0
liveactionnews.org,0.0
makeamericagreattoday.com,0.0
meanlefthook.com,0.0
molonlabemedia.com,0.0
moonofalabama.org,0.0
newslogue.com,0.0
newsninja2012.com,0.0
oathkeepers.org,0.0
occupyliberals.com,0.0
off-guardian.org,0.0
oftwominds.com,0.0
openmindmagazine.com,0.0
orientalreview.org,0.0
palmerreport.com,0.0
patdollar.com,0.0
patriotchronicle.com,0.0
patriotnewsdaily.com,0.0
patriotpost.us,0.0
patriotrising.com,0.0
patriotupdate.com,0.0
paulcraigroberts.org,0.0
platosguns.com,0.0
politicalcult.com,0.0
pravda.ru,0.0
pravdareport.com,0.0
presstv.com,0.0
presstv.ir,0.0
progressivestoday.com,0.0
projectveritas.com,0.0
qpolitical.com,0.0
readconservatives.news,0.0
reagancoalition.com,0.0
realtimepolitics.com,0.0
redflagnews.com,0.0
redstatewatcher.com,0.0
regated.com,0.0
rightalert.com,0.0
rightwingnews.com,0.0
russia-insider.com,0.0
SJLendman.Blogspot.com,0.0
sputniknews.com,0.0
thefederalistpapers.org,0.0
thegatewaypundit.com,0.0
thenewamerican.com,0.0
thenewsdoctors.com,0.0
therealstrategy.com,0.0
thewatchtowers.com,0.0
truepundit.com,0.0
truthandaction.org,0.0
truthkings.com,0.0
truthrevolt.org,0.0
unclesamsmisguidedchildren.com,0.0
unz.com,0.0
usapoliticstoday.com,0.0
USAWatchdog.com,0.0
uschronicle.com,0.0
usherald.com,0.0
vdare.com,0.0
veteranstoday.com,0.0
washingtonsblog.com,0.0
wearechange.org,0.0
westernjournalism.com,0.0
winningdemocrats.com,0.0
wnd.com,0.0
worldnewspolitics.com,0.0
Youngcons.com,0.0
addictinginfo.org,0.0
amplifyingglass.com,0.0
amusmentic.com,0.0
automotostar.com,0.0
bients.com,0.0
bigbluevision.org,0.0
bipartisanreport.com,0.0
blacklistednews.com,0.0
bluenationreview.com,0.0
breaking911.com,0.0
chicksontheright.com,0.0
educateinspirechange.org/health,0.0
elitereaders.com,0.0
heatst.com,0.22903018566048616
indiaarising.com,0.0
liberalamerica.org,0.0
libertywritersnews.com,0.0
lifesitenews.com,0.0
lifezette.com,0.0
livevote.com,0.0
lovethispic.com,0.0
notallowedto.com,0.0
nymeta.co,0.0
occupydemocrats.com,0.0
other98.com,0.0
politicususa.com,0.0
remedydaily.com,0.0
topinfopost.com,0.0
TrueActivist.com,0.0
twitchy.com,0.0
uslifetoday.com,0.0
usuncut.com,0.0
viraltube.nl,0.0
yournationnews.com,0.0
yournewswire.com,0.0
21stcenturywire.com,0.0
82.221.129.208,0.0
abeldanger.net,0.0
abovetopsecret.com,0.0
activistpost.com,0.0
Alt-Market.com,0.0
americanfreepress.net,0.0
americanreviewer.com,0.0
angrypatriotmovement.com,0.0
assassinationscience.com,0.0
awarenessact.com,0.0
awdnews.com,0.0
BB4SP.com,0.0
blackgenocide.org,0.0
BullionBullsCanada.com,0.0
canadafreepress.com,0.0
concisepolitics.com,0.0
conservativerefocus.com,0.0
conspiracyplanet.com,0.0
conspiracywire.com,0.0
corbettreport.com,0.0
countdowntozerotime.com,0.0
counterpsyops.com,0.0
cryptogon.com,0.0
dailyoccupation.com,0.0
dataasylum.com,0.0
davidwolfe.com,0.0
dcclothesline.com,0.0
disclosuremedia.net,0.0
Dont-Tread-On.Me,0.0
Dutchsinse.com,0.0
EbolaHoax.com,0.0
educate-yourself.org,0.0
electionnightgatekeepers.com,0.0
endoftheamericandream.com,0.0
Expose1933.com,0.0
eyeopening.info,0.0
familysecuritymatters.org,0.0
fellowshipoftheminds.com,0.0
fourwinds10.net,0.0
fprnradio.com,0.0
FreedomForceInternational.com,0.0
freedomoutpost.com,0.0
fromthetrenchesworldreport.com,0.0
gaia.com,0.0
gangstergovernment.com,0.0
globalresearch.ca,0.0
godlikeproductions.com,0.0
govtslaves.info,0.0
greanvillepost.com,0.0
hangthebankers.com,0.0
henrymakow.com,0.0
humansarefree.com,0.0
illuminati-news.com,0.0
infiniteunknown.net,0.0
informationclearinghouse.info,0.0
infowars.com,0.0
intellihub.com,0.0
investmentresearchdynamics.com,0.0
ITCCS.org,0.0
jesus-is-savior.com,0.0
jihadwatch.org,0.0
jonesreport.com,0.0
knowledgeoftoday.org,0.0
libertymovementradio.com,0.0
libertytalk.fm,0.0
libertyvideos.org,0.0
militianews.com,0.0
nasamoonhoax.com,0.0
NationalUFOCenter.com,0.0
nationindistress.weebly.com,0.0
neonnettle.com,0.0
newstarget.com,0.0
nodisinfo.com,0.0
NoMoreFakeNews.com,0.0
nowtheendbegins.com,0.0
OffGridSurvival.com,0.0
oilgeopolitics.net,0.0
pamelageller.com,0.0
politicalblindspot.com,0.0
prepperwebsite.com,0.0
prisonplanet.com,0.0
prisonplanet.tv,0.0
rense.com,0.0
rumormillnews.com,0.0
secretsofthefed.com,0.0
sentinelblog.com,0.0
sheepkillers.com,0.0
shoebat.com,0.0
Silver-Coin-Investor. com,0.0
SilverBearCafe.com,0.0
SilverDoctors.com,0.0
SilverStealers.net,0.0
skeptiko.com,0.0
sonsoflibertyradio.com,0.0
thedailysheeple.com,0.0
theeconomiccollapseblog.com,0.0
theeventchronicle.com,0.0
TheExtinctionProtocol.com,0.0
theforbiddenknowledge.com,0.0
thelibertybeacon.com,0.0
themindunleashed.com,0.0
themindunleashed.org,0.0
thephaser.com,0.0
thepoliticalinsider.com,0.0
truthbroadcastnetwork.com,0.0
truthfrequencyradio.com,0.0
ufoholic.com,0.0
wakeupthesheep.com,0.0
wakingupwisconsin.com,0.0
weshapelife.org,0.0
whatdoesitmean.com,0.0
whatreallyhappened.com,0.0
whowhatwhy.org,0.0
wikispooks.com,0.0
Willyloman.wordpress.com,0.0
worldtruth.tv,0.0
X22Report.com,0.0
zerohedge.com,0.0
zootfeed.com,0.0
16wmpo.com,0.0
24newsflash.com,0.0
24wpn.com,0.0
70news.wordpress.com,0.0
abcnews.com.co,0.0
abcnewsgo.co,0.0
alternativemediasyndicate.com,0.0
americannews.com,0.0
americanoverlook.com,0.0
americanpoliticnews.co,0.0
americanpresident.co,0.0
Amposts.com,0.0
anews24.org/,0.0
anonjekloy.tk,0.0
aurora-news.us,0.0
beforeitsnews.com,0.0
bighairynews.com,0.0
blackinusrancenews.com,0.0
bostonleader.com,0.0
buzzfeedusa.com,0.0
cannasos.com,0.0
cap-news.com,0.0
cbsnews.com.co,0.0
channel-7-news.com,0.0
channel18news.com,0.0
cityworldnews.com,0.0
civictribune.com,0.0
clashdaily.com,0.0
cnnews3.com,0.0
coed.com,0.0
conservativebyte.com,0.0
conservativedailypost.com,0.0
conservativefighters.com,0.0
conservativeflashnews.com,0.0
conservativeinfidel.com,0.0
dailybuzzlive.com,0.0
dailyheadlines.com,0.0
dailyheadlines.net,0.0
dailyinfobox.com,0.0
dailynews10.com,0.0
dailynews5.com,0.0
dailynewsposts.info,0.0
dailysurge.com,0.0
dailyusaupdate.com,0.0
damnleaks.com,0.0
dcgazette.com,0.0
ddemocraticunderground.com,0.0
denverguardian.com,0.0
departed.co,0.0
departedmedia.com,0.0
DIYhours.net,0.0
donaldtrumpnews.co,0.0
DonaldTrumpPotus45.com,0.0
downtrend.com,0.0
drudgereport.com.co,0.0
embols.com,0.0
Empirehearland.com,0.0
empireherald.com,0.0
empirenews.net,0.0
en-vovle.com,0.0
enabon.com,0.0
enduringvision.com,0.0
enhlive.com,0.0
eutopia.buzz,0.0
fakingnews.com,0.0
fedsalert.com,0.0
flashnewscorner.com,0.0
floridasunpost.com,0.0
freedomdaily.com,0.0
freshdailyreport.com,0.0
givemeliberity01.com,0.0
globalpoliticsnow.com,0.0
goneleft.com,0.0
gopthedailydose.com,0.0
gummypost.com,0.0
healthycareandbeauty.com,0.0
healthyworldhouse.com,0.0
immediatesafety.org,0.0
infostormer.com,0.0
interestingdailynews.com,0.0
intrendtoday.com,0.0
itaglive.com,0.0
ItMakesSenseBlog.com,0.0
iwanttoexplore.com,0.0
KMT11.com,0.0
konkonsagh.biz,0.0
krbcnews.com,0.0
ky12news.com,0.0
ladylibertynews.com,0.0
lastdeplorables.com,0.0
learnprogress.org,0.0
liberalplug.com,0.0
libertyalliance.com,0.0
libertyblitzkrieg.com,0.0
local31news.com,0.0
madworldnews.com,0.0
maganews.co,0.0
majorthoughts.com,0.0
mediamass.net,0.0
megynkelly.us,0.0
mentor2day.com,0.0
metropolitanworlds.com,0.0
mpidailymagazine.com,0.0
mrconservative.com,0.0
msnbc.website,0.0
myfreshnews.com,0.0
myzonetoday.com,0.0
nationonenews.com,0.0
nbc.com.co,0.0
nephef.com,0.0
newpoliticstoday.com,0.0
news4ktla.com,0.0
newsbbc.net,0.0
newsbreakshere.com,0.0
newsbysquad.com,0.0
newsdaily12.com,0.0
newsexaminer.net,0.0
newsfrompolitics.com,0.0
newsleak.co,0.0
newslo.com,0.0
newsmagazine.com,0.0
newswatch28.com,0.0
newswatch33.com,0.0
newswithviews.com,0.0
now8news.com,0.0
onepoliticalplaza.com,0.0
onlineconservativepress.com,0.0
openmagazines.com,0.0
pakalertpress.com,0.0
politicalo.com,0.0
politicalsitenews.com,0.0
politicalupdator.com,0.0
politicono.com,0.0
politicsusanews.com,0.0
president45donaldtrump.com,0.0
prntly.com,0.0
proamericanews.com,0.0
proudcons.com,0.0
react365.com,0.0
realnewsrightnow.com,0.0
redcountry.us,0.0
redrocktribune.com,0.0
religionmind.com,0.0
rhotv.com,0.0
rickwells.us,0.0
rilenews.com,0.0
rogue-nation3.com,0.0
rumorjournal.com,0.0
smag31.com,0.0
socialeverythings.com,0.0
stormcloudsgathering.com,0.0
subjectpolitics.com,0.0
success-street.com,0.0
supremepatriot.com,0.0
TDTalliance.com,0.0
teaparty.org,0.0
thatviralfeed.net,0.0
the-insider.co,0.0
theamericanindependent.wordpress.com,0.0
thebigriddle.com,0.0
thebostontribune.com,0.0
thecommonsenseshow.com,0.0
thecontroversialfiles.net,0.0
thefreepatriot.org,0.0
theinternetpost.net,0.0
thelastgreatstand.com,0.0
themoralofthestory.us,0.0
thenet24h.com,0.0
thenewyorkevening.com,0.0
theracketreport.com,0.0
thereporterz.com,0.0
therightscoop.com,0.0
thetrumpmedia.com,0.0
thetruthdivision.com,0.0
thetruthseeker.co.uk,0.0
theusa-news.com,0.0
thewashingtonpress.com,0.0
threepercenternation.com,0.0
times.com.mx,0.0
tmzworldnews.com,0.0
trueamericans.me,0.0
truetrumpers.com,0.0
trumpvision365.com,0.0
undergroundnewsreport.com,0.0
undergroundworldnews.com,0.0
unitedmediapublishing.com,0.0
universepolitics.com,0.0
usa-radio.com,0.0
usa-television.com,0.0
usa2016elections.com,0.0
usadailyinfo.com,0.0
usadailypolitics.com,0.0
usadailytime.com,0.0
usadosenews.com,0.0
usafirstinformation.com,0.0
usahitman.com,0.0
usainfobox.com,0.0
usamagazinestudio.com,0.0
usanewsflash.com,0.0
usanewsinsider.com,0.0
usanewspolitics.com,0.0
usanewstoday.com,0.0
usaonlinepolitics.com,0.0
usaphase.com,0.0
usapolitics24hrs.com,0.0
usapoliticsnow.com,0.0
usapoliticszone.com,0.0
usasnich.com,0.0
usasupreme.com,0.0
usatoday.com.co,0.0
usatodaynews.me,0.0
usatwentyfour.com,0.0
usconservativetoday.com,0.0
usfanzone.com,0.0
ushealthyadvisor.com,0.0
ushealthylife.com,0.0
usinfonews.com,0.0
uspoliticslive.com,0.0
uspoln.com,0.0
uspostman.com,0.0
vigilantcitizen.com,0.0
viralactions.com,0.0
viralliberty.com,0.0
voxtribune.com,0.0
washingtonfed.com,0.0
washingtonpost.com.co,0.0
webdaily.com,0.0
weeklyworldnews.com,0.0
worldpoliticsus.com,0.0
worldrumor.com,0.0
worldstoriestoday.com,0.0
wtoe5news.com,0.0
yesimright.com,0.0
yourfunpage.com,0.0
worldpoliticsnow.com,0.0
FarmWars.info,0.0
actforamerica.org/news,0.0
adflegal.org/media,0.0
americanborderpatrol.com,0.0
amren.com,0.0
aryannationswordwide1488.org,0.0
barenakedislam.com,0.0
barnesreview.org,0.0
bigbluevision.com,0.0
centerforsecuritypolicy.org/#articles,0.0
christianfightback.com,0.0
creativitymovement.net/category/news/,0.0
dailyken.com,0.0
dailystormer.com,0.0
darkmoon.me,0.0
davidduke.com,0.0
drrichswier.com,0.0
EUTimes.net,0.0
gatesofvienna.net,0.0
glaringhypocrisy.com,0.0
ihr.org,0.0
libertyfederation.com,0.0
nationalvanguard.org,0.0
npiamerica.org,0.0
returnofkings.com,0.0
themuslimissue.wordpress.com,0.0
therightstuff.biz,0.0
truthfeed.com,0.0
whitepower.com,0.0
AmericanKabuki.blogspot.com,0.0
ancient-code.com,0.0
checkoutthehealthyworld.com,0.0
collective-evolution.com,0.0
collectivelyconscious.net,0.0
consciouslifenews.com,0.0
dineal.com,0.0
ewao.com,0.0
ExperimentalVaccines.org,0.0
foodbabe.com,0.0
galacticconnection.com,0.0
geoengineeringwatch.org,0.0
GreenMedInfo.com,0.0
healthimpactnews.com,0.0
healthnutnews.com,0.0
healthy-holistic-living.com,0.0
icr.org,0.0
in5d.com,0.0
lifeprevention.com,0.0
naturalblaze.com,0.0
naturalnews.com,0.0
naturalnewsblogs.com,0.0
rawforbeauty.com,0.0
realfarmacy.com,0.0
realplanetnews.com,0.0
responsibletechnology.org,0.0
revolutions2040.com,0.0
thetruthaboutcancer.com,0.0
TheTruthWins.com,0.0
wakingtimes.com,0.0
whydontyoutrythis.com,0.0
worldwidehealthy.com,0.0
dailyleak.org,0.0
advocate.com,0.0
alternet.org,0.0
americannewsx.com,0.0
americanprogress.org,0.0
attn.com,0.0
baptistnews.com,0.0
breitbart.com,0.0
cato.org/blog,0.0
chroniclesmagazine.org,0.0
city-journal.org,0.0
commentarymagazine.com,0.0
commondreams.org,0.0
conservativereview.com,0.0
countercurrents.org,0.0
counterinformation.wordpress.com,0.0
counterpunch.com,0.0
counterpunch.org,0.0
dailycaller.com,0.0
dailykos.com,0.0
davidstockmanscontracorner.com,0.0
DeadLineLive.info,0.0
dennismichaellynch.com,0.0
dissentmagazine.org,0.0
drudgereport.com,0.0
economicnoise.com,0.0
ecowatch.com,0.0
Emptywheel.net,0.0
filmsforaction.org,0.0
foreignpolicyjournal.com,0.0
freedomworks.org,0.0
fusion.net,0.0
geopolmonitor.com,0.0
guardianlv.com,0.0
heritage.org,0.0
ijr.com,0.0
jackpineradicals.com,0.0
jacobinmag.com,0.0
judicialwatch.org,0.0
mintpressnews.com,0.0
mrc.org,0.0
nakedcapitalism.com,0.0
nationalreview.com,0.0
newcoldwar.org,0.0
newscorpse.com,0.0
oann.com,0.0
observer.com,0.0
OCCUPY.com,0.0
pjmedia.com,0.0
presidentialvoting2016.com,0.0
proudemocrat.com,0.0
rawstory.com,0.0
redstate.com,0.0
resistancereport.com,0.0
rinf.com,0.0
ronpaulinstitute.org,0.0
ruptly.tv,0.0
theblaze.com,0.0
thedailybeast.com,0.0
thefifthcolumnnews.com,0.0
theintercept.com,0.0
thinkprogress.org,0.0
TomWoods.com,0.0
washingtonexaminer.com,0.0
weeklystandard.com,0.0
yellowhammernews.com,0.0
christianpost.com,0.0
consortiumnews.com,0.0
nutritionfacts.org,0.0
americantoday.news,0.0
amtvmedia.com,0.0
bigbluedimension.com,0.0
christiantimesnewspaper.com,0.0
express.co.uk,0.0
loanpride.com,0.0
magafeed.com,0.0
mediazone.news,0.0
megafreshnews.com,0.0
newswire-24.com,0.0
pollhype.com,0.0
abriluno.com,0.0
aceflashman.wordpress.com,0.0
actualidadpanamericana.com,0.0
adobochronicles.com,0.0
associatedmediacoverage.com,0.0
awazetribune.com,0.0
beehivebugle.com,0.0
betootaadvocate.com,0.0
bigamericannews.com,0.0
borowitzreport.com,0.0
bostontribune.com,0.0
burrardstreetjournal.com,0.0
callthecops.net,0.0
celebtricity.com,0.0
chaser.com.au,0.0
christwire.org,0.0
chronicle.su,0.0
clickhole.com,0.0
creambmp.com,0.0
crystalair.com,0.0
dailycurrant.com,0.0
dailydiscord.com,0.0
dailysnark.com,0.0
dailysquib.co.uk,0.0
dandygoat.com,0.0
der-postillon.com,0.0
derfmagazine.com,0.0
disclose.tv,0.0
diversitychronicle.wordpress.com,0.0
duffleblog.com,0.0
duhprogressive.com,0.0
elkoshary.com,0.0
elmundotoday.com,0.0
empiresports.co,0.0
fmobserver.com,0.0
fognews.ru,0.0
freepatriot.org,0.0
freewoodpost.com,0.0
fridaymash.com,0.0
glossynews.com,0.0
gomerblog.com,0.0
holyobserver.com,0.0
humortimes.com,0.0
huzlers.com,0.0
ironictimes.com,0.0
islamicanews.com,0.0
johnnyrobish.com,0.0
landoverbaptist.org,0.0
liberalbias.com,0.0
liberaldarkness.com,0.0
lushforlife.com,0.0
nahadaily.com,0.0
nationalreport.net,0.0
ncscooper.com,0.0
newsbiscuit.com,0.0
newsbreakers.org,0.0
newsmutiny.com,0.0
newsthump.com,0.0
newstoad.net,0.0
newyorker.com/humor,0.0
objectiveministries.org,0.0
politicops.com,0.0
politicot.com,0.0
reductress.com,0.0
religionlo.com,0.0
rockcitytimes.com,0.0
satiratribune.com,0.0
satirewire.com,0.0
scrappleface.com,0.0
sensationalisttimes.com,0.0
speld.nl,0.0
sportspickle.com,0.0
stneotscitizen.com,0.0
stuppid.com,0.0
surrealscoop.com,0.0
thebeaverton.com,0.0
thedailymash.co.uk,0.0
thedailywtf.com,0.0
thehardtimes.net,0.142625
theineptowl.com,0.0
thelastlineofdefense.org,0.0
themadisonmisnomer.com,0.0
themideastbeast.com,0.0
thenewsnerd.com,0.0
theonion.com,0.0
thepoke.co.uk,0.0
therightists.com,0.0
theseattletribune.com,0.0
theshovel.com.au,0.0
theskunk.org,0.0
thespoof.com,0.0
thestatelyharold.com,0.0
thetimesoftheworld.com,0.0
theunrealtimes.com,0.0
theuspatriot.com,0.0
thevalleyreport.com,0.0
topekasnews.com,0.0
unconfirmedsources.com,0.0
us.blastingnews.com,0.0
waterfordwhispersnews.com,0.0
WilliamBanzai7.blogspot.com,0.0
winkprogress.com,0.0
witscience.org,0.0
wonkie.com,0.0
worldnewsdailyreport.com,0.0
wundergroundmusic.com,0.0
www.rt.com,0.0
aanirfan.blogspot.co.uk,0.0
Acting-Man.com,0.0
ahtribune.com,0.0
allnewspipeline.com,0.0
anonews.co,0.0
anonhq.com,0.0
anonnews.co,0.0
asia-pacificresearch.com,0.0
AutomaticEarth.com,0.0
awm.com,0.0
blackagendareport.com,0.0
Boilingfrogspost.com,0.0
breakpoint.org,0.0
bvanews.com,0.0
cnnnext.com,0.0
CNSNews.com,0.0
coasttocoastam.com,0.0
conservativeoutfitters.com,0.0
DaveJanda.com,0.0
dcleaks.com,0.0
FinancialSurvivalNetwork.com,0.0
guccifer2.wordpress.com,0.0
ifyouonlynews.com,0.0
jewsnews.co.il,0.0
libertynews.com,0.0
Mad-Yet.blogspot.com,0.0
madpatriots.com,0.0
morningledger.com,0.0
morningnewsusa.com,0.0
nevo.news,0.0
newcenturytimes.com,0.0
Newsmax.com,0.0
northcrane.com,0.0
NutritionalAnarchy.com,0.0
politicalears.com,0.0
politicsintheusa.com,0.0
powerpoliticians.com,0.0
shareblue.com,0.0
SovereignMan.com,0.0
theantimedia.org,0.0
theduran.com,0.0
thefreethoughtproject.com,0.0
thegoldandoilguy.com/articles,0.0
theinformedamerican.net,0.0
thelibertymill.com,0.0
usdefensewatch.com,0.0
usviewer.com,0.0
veteransnewsnow.com,0.0
WallStreetOnParade.com,0.0
weaselzippers.us,0.0
whowhatwhy.com,0.0
wikileaks.com,0.0
wikileaks.org,0.0
WolfStreet.com,0.0
zapper.com,0.0
washington post,0.82
the sean hannity show,0.25
cbs,0.5
denver post,0.83
the daily show,0.5
latimes,0.88
people magazine,0.3
google news,0.525
local,0.875
reuters,0.95
slate,0.7
the ed shultz show,0.75
blaze,0.225
nbc,0.45
economist,1.0
guardian,0.885
seattle times,0.875
the onion,0.2
cnn,0.75
New York Times,1.0
kansas city star,0.75
thinkprogress,0.725
wall street journal,0.88
usa today,0.635
breitbart,0.04
the colbert report,0.65
the atlantic,0.615
bbc,0.9
bloomberg,0.85
mother jones,0.825
dallas morning news,0.875
msnbc,0.4
fox,0.25
the blaze,0.275
associated press,0.95
infowars,0.15
politico,0.875
yahoo,0.2
pbs,0.9
abc,0.375
buzzfeed,0.02
trump,0.0
npr,0.95
huffington post,0.225
the rush limbaugh show,0.35
drudge report,0.45
al jazeera,0.925
time,0.8
